City,Year,Population,Violent Crime,Property Crime,Total Crime,"Total Crime Per Capita [10,000]","Violent Crime Per Capita [10,000]","Property Crime Per Capita [10,000]",Median Sale Price,DOM,Homes Sold
Baytown,2012,74420.0,247.0,3684.0,3931.0,528.2182209083578,33.190002687449606,495.0282182209083,116000.0,75.5,885
Friendswood,2012,36965.0,15.0,353.0,368.0,99.55363181387798,4.057892601109159,95.49573921276884,184916.66666666666,80.58333333333333,770
Galveston,2012,49170.0,296.0,2469.0,2765.0,562.3347569656295,60.199308521456175,502.1354484441733,152083.33333333334,84.33333333333333,854
Houston,2012,2177273.0,21610.0,107678.0,129288.0,593.8070237402477,99.25259717086463,494.5544265693829,150916.66666666666,56.25,26981
La Porte,2012,35054.0,61.0,604.0,665.0,189.70730872368347,17.401723055856678,172.30558566782682,103416.66666666667,67.66666666666667,356
League City,2012,86127.0,79.0,1734.0,1813.0,210.5030942677673,9.172501073995381,201.33059319377202,183000.0,75.08333333333333,1628
Missouri City,2012,70819.0,86.0,879.0,965.0,136.2628673096203,12.143633770598287,124.119233539022,180583.33333333334,69.41666666666667,1391
Pasadena,2012,154562.0,622.0,5610.0,6232.0,403.20389228917844,40.24275048200722,362.96114180717126,100583.33333333333,69.08333333333333,819
Sugar Land,2012,82924.0,109.0,1541.0,1650.0,198.97737687521104,13.144566108726062,185.8328107664849,238583.33333333334,54.416666666666664,2017
Texas City,2012,46448.0,148.0,1700.0,1848.0,397.86427833275917,31.863589390285917,366.0006889424733,76250.0,76.08333333333333,341
Baytown,2013,73709.0,285.0,3653.0,3938.0,534.263115766053,38.66556322837103,495.597552537682,123000.0,76.0,918
Friendswood,2013,37226.0,11.0,418.0,429.0,115.24203513673241,2.954923977864933,112.28711115886743,195166.66666666666,49.916666666666664,860
Galveston,2013,48067.0,236.0,2335.0,2571.0,534.8783989015333,49.098133854827644,485.7802650467057,170000.0,87.0,997
Houston,2013,2180606.0,20993.0,110919.0,131912.0,604.932757224368,96.27140345390228,508.6613537704657,170166.66666666666,32.666666666666664,30826
La Porte,2013,34671.0,40.0,593.0,633.0,182.5733321796314,11.53701941103516,171.03631276859622,122250.0,47.0,407
League City,2013,89596.0,96.0,1918.0,2014.0,224.7868208402161,10.714764051966606,214.07205678824943,190666.66666666666,45.916666666666664,1976
Missouri City,2013,69487.0,72.0,1151.0,1223.0,176.00414466015224,10.36165038064674,165.64249427950554,200333.33333333334,50.083333333333336,1696
Pasadena,2013,153195.0,592.0,5501.0,6093.0,397.72838539116816,38.643558862887176,359.08482652828104,111500.0,59.333333333333336,955
Sugar Land,2013,83460.0,108.0,1613.0,1721.0,206.20656601965013,12.940330697340045,193.2662353223101,270583.3333333333,31.0,2420
Texas City,2013,45793.0,126.0,1745.0,1871.0,408.5777302207761,27.51512239861988,381.0626078221562,86333.33333333333,77.83333333333333,378
Baytown,2014,76253.0,241.0,3157.0,3398.0,445.62181160085504,31.605313889289604,414.0164977115655,138333.33333333334,46.25,1092
Friendswood,2014,38012.0,21.0,329.0,350.0,92.07618646743134,5.524571188045879,86.55161527938543,214250.0,27.75,840
Galveston,2014,48961.0,256.0,2054.0,2310.0,471.8040889687711,52.28651375584649,419.51757521292467,178333.33333333334,89.16666666666667,1186
Houston,2014,2219933.0,22008.0,104197.0,126205.0,568.5081486693517,99.138127141675,469.37002152767667,183083.33333333334,25.333333333333332,31066
La Porte,2014,34852.0,70.0,584.0,654.0,187.65063697922645,20.084930563525766,167.56570641570067,129166.66666666667,43.416666666666664,501
League City,2014,92790.0,98.0,1807.0,1905.0,205.3022955059812,10.561482918417934,194.7408125875633,209916.66666666666,34.416666666666664,2078
Missouri City,2014,70853.0,126.0,1162.0,1288.0,181.78482209645318,17.78329781378347,164.00152428266975,225333.33333333334,31.416666666666668,1703
Pasadena,2014,153540.0,591.0,4630.0,5221.0,340.0416829490686,38.49159828057835,301.5500846684903,123083.33333333333,36.833333333333336,1001
Sugar Land,2014,85055.0,99.0,1400.0,1499.0,176.23890423843395,11.639527364646408,164.59937687378755,316250.0,21.083333333333332,2287
Texas City,2014,46273.0,150.0,1652.0,1802.0,389.42796014954735,32.41631188814211,357.0116482614051,95083.33333333333,65.83333333333333,473
Baytown,2015,77145.0,233.0,2876.0,3109.0,403.0073238706332,30.202864735238837,372.8044591353944,151833.33333333334,36.833333333333336,1109
Friendswood,2015,38851.0,28.0,355.0,383.0,98.5817610872307,7.207021698283183,91.37473938894753,214833.33333333334,19.25,753
Galveston,2015,50065.0,224.0,1818.0,2042.0,407.8697692999101,44.741835613702186,363.1279336862079,172166.66666666666,68.08333333333333,1195
Houston,2015,2275221.0,21994.0,100053.0,122047.0,536.4182204717696,96.66753251662145,439.75068795514807,190416.66666666666,27.0,29161
La Porte,2015,35336.0,79.0,560.0,639.0,180.8354086484039,22.356803260131308,158.4786053882726,144083.33333333334,26.333333333333332,440
League City,2015,97172.0,88.0,1767.0,1855.0,190.89861276911046,9.056106697402543,181.84250607170787,232833.33333333334,27.833333333333332,2077
Missouri City,2015,72879.0,148.0,1268.0,1416.0,194.2946527806364,20.307633200236005,173.98701958040039,237666.66666666666,28.0,1627
Pasadena,2015,154986.0,632.0,4273.0,4905.0,316.4801982114513,40.7778767114449,275.70232150000646,134000.0,23.5,992
Sugar Land,2015,88810.0,83.0,1470.0,1553.0,174.86769507938294,9.345794392523365,165.52190068685957,321083.3333333333,27.666666666666668,2140
Texas City,2015,46976.0,186.0,1458.0,1644.0,349.96594005449583,39.594686648501366,310.3712534059945,110666.66666666667,42.416666666666664,498
Baytown,2016,77224.0,302.0,2858.0,3160.0,409.199212679996,39.107013363721116,370.09219931627473,167083.33333333334,37.083333333333336,1221
Friendswood,2016,39402.0,27.0,302.0,329.0,83.49829957870159,6.852444038373688,76.6458555403279,263500.0,26.5,833
Galveston,2016,50667.0,244.0,1771.0,2015.0,397.6947520082105,48.15757791067164,349.5371740975389,194416.66666666666,57.5,1222
Houston,2016,2334348.0,23960.0,100856.0,124816.0,534.693199128836,102.6410800788914,432.0521190499445,205083.33333333334,35.75,29805
La Porte,2016,35410.0,73.0,602.0,675.0,190.62411748093757,20.615645297938432,170.00847218299916,155416.66666666666,20.916666666666668,475
League City,2016,101436.0,82.0,1937.0,2019.0,199.0417603217793,8.08391498087464,190.95784534090458,243666.66666666666,25.5,2070
Missouri City,2016,75607.0,144.0,1263.0,1407.0,186.09388019627806,19.04585554247623,167.0480246538019,240916.66666666666,35.25,1550
Pasadena,2016,154648.0,691.0,4008.0,4699.0,303.85132688427916,44.68211680720087,259.16921007707833,144083.33333333334,25.416666666666668,1040
Sugar Land,2016,90088.0,77.0,1460.0,1537.0,170.6109581742296,8.547198295000442,162.0637598792292,310583.3333333333,40.583333333333336,1967
Texas City,2016,48095.0,249.0,1759.0,2008.0,417.5070173614721,51.772533527393705,365.7344838340784,127000.0,26.833333333333332,583
Baytown,2017,76704.0,288.0,2678.0,2966.0,386.68126825198163,37.54693366708385,349.13433458489783,175833.33333333334,30.916666666666668,1213
Friendswood,2017,39990.0,36.0,321.0,357.0,89.27231807951988,9.002250562640663,80.27006751687921,265000.0,28.666666666666668,812
Galveston,2017,51021.0,257.0,1790.0,2047.0,401.2073459947865,50.371415691577965,350.83593030320844,208166.66666666666,66.0,1323
Houston,2017,2338235.0,25609.0,96532.0,122141.0,522.3640908634077,109.52278107204792,412.8413097913597,210250.0,38.166666666666664,30553
La Porte,2017,35293.0,103.0,527.0,630.0,178.50565267900146,29.18425750148755,149.32139517751395,171333.33333333334,25.833333333333332,451
League City,2017,105351.0,97.0,1718.0,1815.0,172.28123131246974,9.207316494385436,163.07391481808432,259416.66666666666,33.416666666666664,2016
Missouri City,2017,75863.0,149.0,969.0,1118.0,147.37091862963499,19.640668046346704,127.73025058328828,247000.0,44.25,1614
Pasadena,2017,154000.0,711.0,3773.0,4484.0,291.16883116883116,46.168831168831154,245.0,154166.66666666666,22.916666666666668,986
Sugar Land,2017,89790.0,71.0,1289.0,1360.0,151.46452834391354,7.907339347366077,143.5571889965475,319083.3333333333,44.5,2036
Texas City,2017,48774.0,237.0,1704.0,1941.0,397.95792840447785,48.591462664534376,349.3664657399434,144500.0,30.833333333333332,571
Baytown,2018,76704.0,288.0,2678.0,2966.0,386.68126825198163,37.54693366708385,349.13433458489783,187250.0,30.75,1250
Friendswood,2018,39990.0,36.0,321.0,357.0,89.27231807951988,9.002250562640663,80.27006751687921,257083.33333333334,29.5,945
Galveston,2018,51021.0,257.0,1790.0,2047.0,401.2073459947865,50.371415691577965,350.83593030320844,222833.33333333334,62.5,1348
Houston,2018,2338235.0,25609.0,96532.0,122141.0,522.3640908634077,109.52278107204792,412.8413097913597,217416.66666666666,36.833333333333336,31640
La Porte,2018,35293.0,103.0,527.0,630.0,178.50565267900146,29.18425750148755,149.32139517751395,178000.0,19.166666666666668,462
League City,2018,105351.0,97.0,1718.0,1815.0,172.28123131246974,9.207316494385436,163.07391481808432,266083.3333333333,31.5,2041
Missouri City,2018,75863.0,149.0,969.0,1118.0,147.37091862963499,19.640668046346704,127.73025058328828,247916.66666666666,44.833333333333336,1654
Pasadena,2018,154000.0,711.0,3773.0,4484.0,291.16883116883116,46.168831168831154,245.0,166416.66666666666,17.083333333333332,976
Sugar Land,2018,89790.0,71.0,1289.0,1360.0,151.46452834391354,7.907339347366077,143.5571889965475,313583.3333333333,52.5,2055
Texas City,2018,48774.0,237.0,1704.0,1941.0,397.95792840447785,48.591462664534376,349.3664657399434,164000.0,38.0,788
