Geo_ID,Geographic Area Name,Year,Estimate HOUSING OCCUPANCY Total housing units,Estimate HOUSING OCCUPANCY Occupied housing units,Estimate HOUSING OCCUPANCY Vacant housing units,Estimate YEAR STRUCTURE BUILT Total housing units,Estimate YEAR STRUCTURE BUILT Built 2005 or later,Estimate YEAR STRUCTURE BUILT Built 2000 to 2004,Estimate YEAR STRUCTURE BUILT Built 1990 to 1999,Estimate YEAR STRUCTURE BUILT Built 1980 to 1989,Estimate YEAR STRUCTURE BUILT Built 1970 to 1979,Estimate YEAR STRUCTURE BUILT Built 1960 to 1969,Estimate YEAR STRUCTURE BUILT Built 1950 to 1959,Estimate YEAR STRUCTURE BUILT Built 1940 to 1949,Estimate YEAR STRUCTURE BUILT Built 1939 or earlier,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2005 or later,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2000 to 2004,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1990 to 1999,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1980 to 1989,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1970 to 1979,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1969 or earlier,Estimate VALUE Owner-occupied units,"Estimate VALUE Less than $50,000","Estimate VALUE $50,000 to $99,999","Estimate VALUE $100,000 to $149,999","Estimate VALUE $150,000 to $199,999","Estimate VALUE $200,000 to $299,999","Estimate VALUE $300,000 to $499,999","Estimate VALUE $500,000 to $999,999","Estimate VALUE $1,000,000 or more",Estimate VALUE Median (dollars),State
56348,"Pearland city, Texas",2013,36087,35067,1020,36087,2728,17262,6411,3097,4040,1231,1244,0,74,35067,11086,17866,4750,710,275,380,26706,1284,528,5421,8754,7917,2760,0,42,180200,Texas
57200,"Pharr city, Texas",2013,22935,19788,3147,22935,923,7268,3641,4290,3988,755,971,641,458,19788,6128,8955,2120,1366,663,556,11494,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,73700,Texas
58016,"Plano city, Texas",2013,110660,105977,4683,110660,2134,18155,37696,29541,16834,3999,1224,657,420,105977,41953,37628,17873,5283,2763,477,63109,1764,2391,8953,12689,18075,14368,4026,843,226500,Texas
61796,"Richardson city, Texas",2013,40039,38324,1715,40039,1072,4718,7236,5640,11237,6574,3378,119,65,38324,15775,11574,4778,2265,2643,1289,23244,624,1054,4110,6103,7850,2924,335,244,197800,Texas
63500,"Round Rock city, Texas",2013,39797,37153,2644,39797,1290,15259,10331,9413,3011,221,253,19,0,37153,15271,15629,4722,973,337,221,23448,397,801,7095,6330,6103,2335,387,0,170800,Texas
64472,"San Angelo city, Texas",2013,41231,37998,3233,41231,987,2697,4080,6750,9081,4688,6621,4617,1710,37998,15835,10939,5536,2554,1709,1425,22907,3572,6601,5809,3035,2654,664,429,143,109000,Texas
65000,"San Antonio city, Texas",2013,538533,493102,45431,538533,11593,96406,73640,93497,91497,59540,54783,27752,29825,493102,205172,149478,64190,32054,23873,18335,262256,27725,83375,60521,40562,29168,14823,5301,781,115600,Texas
70808,"Sugar Land city, Texas",2013,28830,27493,1337,28830,948,5806,6782,9517,4564,708,140,40,325,27493,7069,10302,6117,3163,524,318,22349,612,291,3303,3078,6119,6323,2501,122,265300,Texas
72176,"Temple city, Texas",2013,26712,23926,2786,26712,1912,5446,3332,4399,3647,3238,2487,1274,977,23926,10175,8411,2759,1008,845,728,13885,969,3464,4613,2226,1899,491,186,37,122400,Texas
72656,"The Woodlands CDP, Texas",2013,39714,36186,3528,39714,2184,13393,12874,7186,3787,69,43,0,178,36186,13950,13220,6011,2272,733,0,26417,461,106,2091,3713,5196,10392,3894,564,328400,Texas
74144,"Tyler city, Texas",2013,42745,38261,4484,42745,1113,7715,4815,6002,7304,5512,5986,2204,2094,38261,15936,11580,5364,2474,1144,1763,21017,2131,5622,4911,3517,2622,1647,496,71,127300,Texas
75428,"Victoria city, Texas",2013,26144,23729,2415,26144,82,2165,3835,4138,6072,2833,4583,1483,953,23729,9133,7866,3297,1140,1286,1007,14694,1744,3874,4210,2848,1085,691,242,0,115800,Texas
76000,"Waco city, Texas",2013,51711,46626,5085,51711,1339,5572,5347,6771,10303,7031,8286,3948,3114,46626,24009,13451,3635,2260,1358,1913,20727,3304,8057,3866,2890,1493,814,303,0,91000,Texas
79000,"Wichita Falls city, Texas",2013,44016,38748,5268,44016,343,4047,4793,4299,7903,7604,6551,2234,6242,38748,16809,11721,5171,2300,1471,1276,22022,5208,7155,4180,1830,2663,986,0,0,89500,Texas
1,United States,2014,133962970,117259427,16703543,133962970,2723663,19599180,18770589,18346964,20974330,14741022,14243850,7029981,17533391,117259427,45069381,36624354,17383494,8447356,5616819,4118023,73991995,7252803,10984718,11238389,10866782,13431171,11936757,6510385,1770990,181200,Texas
1000,"Abilene city, Texas",2014,47610,41710,5900,47610,1357,4088,4641,7432,8150,5465,9754,3629,3094,41710,21573,9625,5450,2207,1592,1263,21966,3522,7176,4562,3834,2247,570,55,0,103000,Texas
1924,"Allen city, Texas",2014,31274,30341,933,31274,3513,12088,8690,4036,1955,581,74,0,337,30341,12553,13313,3526,617,202,130,23515,344,683,2512,4951,6881,6932,1032,180,233700,Texas
3000,"Amarillo city, Texas",2014,83800,74709,9091,83800,2969,9576,6471,10125,12788,13942,13989,6826,7114,74709,32905,21240,10727,4436,3340,2061,45807,5755,13388,10132,8055,5796,1934,666,81,116300,Texas
4000,"Arlington city, Texas",2014,148731,135093,13638,148731,1722,20692,22988,44854,32373,15230,8017,1441,1414,135093,67226,38031,17318,7044,3472,2002,72842,3797,17868,21116,16139,10345,2924,525,128,133500,Texas
4462,"Atascocita CDP, Texas",2014,23786,22899,887,23786,1830,10148,5789,3684,2227,0,45,63,0,22899,8710,10698,2193,842,456,0,18451,886,1673,5204,4871,4521,962,165,169,162600,Texas
5000,"Austin city, Texas",2014,392184,360996,31188,392184,15827,77447,64968,85067,72124,32244,22486,10454,11567,360996,208942,89410,34104,14889,9414,4237,161402,7375,5933,14255,28438,40683,39944,20283,4491,255900,Texas
6128,"Baytown city, Texas",2014,31372,27073,4299,31372,1195,5827,1908,4130,6705,4405,3289,2309,1604,27073,13184,7816,2315,1616,1039,1103,15195,2479,6025,4005,1629,708,349,0,0,93600,Texas
7000,"Beaumont city, Texas",2014,51580,45669,5911,51580,2760,5829,3983,4973,10214,8592,7044,4049,4136,45669,18688,14706,5261,2827,2477,1710,25867,4892,9665,4314,4410,1535,655,347,49,90000,Texas
10768,"Brownsville city, Texas",2014,55540,50340,5200,55540,2676,14869,10670,8320,9096,3667,3420,1864,958,50340,18086,18716,6323,3037,2314,1864,31359,6043,13882,6220,2512,2242,276,184,0,83000,Texas
10912,"Bryan city, Texas",2014,32190,29718,2472,32190,1893,5127,5544,5165,6012,2785,2580,1488,1596,29718,15592,8572,2822,1497,757,478,13676,1625,3497,3824,2261,1394,529,185,361,130000,Texas
13024,"Carrollton city, Texas",2014,47471,45936,1535,47471,1752,6808,8372,16996,9012,2594,1174,326,437,45936,21072,14658,5668,3138,1208,192,26707,397,1965,5769,7734,7360,2438,1044,0,181800,Texas
15976,"College Station city, Texas",2014,41336,38725,2611,41336,3263,10454,9225,6850,7381,1172,1755,598,638,38725,29849,5189,2367,758,322,240,12598,318,499,2008,4004,3637,1918,214,0,193000,Texas
16432,"Conroe city, Texas",2014,25619,23105,2514,25619,2111,7960,3863,4649,3506,1521,839,471,699,23105,12359,7347,1970,780,471,178,11537,1635,2236,2391,1714,1675,1529,357,0,140400,Texas
17000,"Corpus Christi city, Texas",2014,129241,117685,11556,129241,3317,14042,14661,24059,21868,16975,21733,8835,3751,117685,52740,32309,14778,7608,5784,4466,66577,7515,20698,15508,9757,7770,4003,902,424,118100,Texas
19000,"Dallas city, Texas",2014,540447,484335,56112,540447,11890,64142,52080,97377,101083,72964,75553,31398,33960,484335,269768,114858,47061,20241,18531,13876,199532,18371,55133,30211,16998,26357,30369,16201,5892,140700,Texas
19972,"Denton city, Texas",2014,49109,46295,2814,49109,2837,15532,8324,6728,7264,4315,2354,1162,593,46295,26359,15263,2736,1150,544,243,21427,2650,1350,5281,5723,3809,1888,479,247,159800,Texas
22660,"Edinburg city, Texas",2014,26222,23471,2751,26222,2017,10508,5215,2352,2338,2472,953,0,367,23471,11202,7404,2809,895,579,582,12257,1754,3605,3090,1876,1366,124,442,0,109100,Texas
24000,"El Paso city, Texas",2014,244766,218127,26639,244766,11729,39290,31321,32734,43311,36235,30181,9403,10562,218127,89793,61594,32077,14629,12466,7568,129034,9100,37376,40625,21069,12685,7148,871,160,119200,Texas
26232,"Flower Mound town, Texas",2014,23135,21963,1172,23135,809,5196,11653,3937,1101,247,144,48,0,21963,6820,9882,4251,731,234,45,19452,215,198,796,2858,6706,6609,1893,177,288100,Texas
27000,"Fort Worth city, Texas",2014,309326,281924,27402,309326,14040,83128,35916,38006,36303,25424,38415,17740,20354,281924,136110,91896,27592,11649,7673,7004,157225,15986,41889,38819,26825,17386,11602,4057,661,127300,Texas
27684,"Frisco city, Texas",2014,50407,47880,2527,50407,7854,27261,11505,1955,595,696,171,155,215,47880,22954,21406,3109,411,0,0,36567,732,330,635,5023,12264,13638,3045,900,294100,Texas
29000,"Garland city, Texas",2014,80814,75775,5039,80814,1093,8861,8636,18092,24072,11309,7431,960,360,75775,26439,26416,12373,4887,4558,1102,48041,1119,14575,18574,8096,2829,2341,353,154,119000,Texas
30464,"Grand Prairie city, Texas",2014,61908,58703,3205,61908,1529,17786,9488,9630,9796,5545,4739,2604,791,58703,26458,19191,7498,2709,1511,1336,35298,2686,9407,9555,7576,4170,1417,487,0,125700,Texas
32372,"Harlingen city, Texas",2014,23938,20831,3107,23938,415,3990,4656,3691,4118,2313,3142,858,755,20831,8378,7069,1828,1360,1038,1158,12213,4040,4823,1371,962,833,117,0,67,72000,Texas
35000,"Houston city, Texas",2014,931083,834204,96879,931083,26245,136161,95308,130837,210459,145236,102414,40173,44250,834204,444347,217960,85269,36224,29921,20483,347479,32698,92083,65256,39208,38837,44273,26287,8837,134500,Texas
37000,"Irving city, Texas",2014,90708,84734,5974,90708,2975,11205,16438,21842,14224,12689,8979,1555,801,84734,54038,19022,5553,2421,1962,1738,31102,1855,6351,7767,4781,5262,4076,923,87,146500,Texas
39148,"Killeen city, Texas",2014,57695,48652,9043,57695,5237,16384,8293,9809,9959,3937,3663,294,119,48652,30001,10255,5206,1656,1037,497,22022,1616,6963,6926,3106,2757,402,140,112,115500,Texas
41464,"Laredo city, Texas",2014,72972,66985,5987,72972,2835,19890,16155,10595,9961,5059,3737,2888,1852,66985,26303,20268,11680,3983,2870,1881,40670,5543,12255,8965,7812,3458,1973,664,0,113400,Texas
41980,"League City city, Texas",2014,33530,32128,1402,33530,2721,12809,6815,6203,3466,825,585,0,106,32128,14928,12302,2486,1510,664,238,21875,1471,888,3392,4694,8178,2978,274,0,204600,Texas
42508,"Lewisville city, Texas",2014,42261,39017,3244,42261,1845,7812,14458,10628,4383,1797,852,252,234,39017,22766,10465,3339,1521,848,78,16800,1490,1355,3501,5216,4611,488,139,0,171500,Texas
43888,"Longview city, Texas",2014,34068,31082,2986,34068,390,3850,2858,6066,8528,5800,3179,3176,221,31082,13247,9055,3968,2000,1948,864,17648,1805,4114,4490,3123,3030,464,392,230,132200,Texas
45000,"Lubbock city, Texas",2014,103366,94682,8684,103366,4260,15223,10272,15797,18082,16789,14832,4164,3947,94682,51801,22775,9188,5084,3496,2338,48793,6003,14626,12086,7056,4543,3507,919,53,113500,Texas
45384,"McAllen city, Texas",2014,47882,41458,6424,47882,1299,11632,11301,8066,7869,4580,1534,778,823,41458,18388,11597,6703,2051,1583,1136,24016,1885,7107,7117,4220,1707,1357,577,46,120800,Texas
45744,"McKinney city, Texas",2014,56104,53943,2161,56104,6642,27532,11095,5526,2656,729,1157,297,470,53943,30302,19907,2795,444,447,48,35582,964,838,3184,9330,13446,6611,804,405,221700,Texas
47892,"Mesquite city, Texas",2014,51941,47715,4226,51941,143,5879,10153,13323,9023,7501,5197,614,108,47715,20382,14663,6802,2901,1993,974,26284,1832,10224,9456,3789,897,43,43,0,105300,Texas
48072,"Midland city, Texas",2014,46380,43086,3294,46380,1473,4287,6594,8744,7560,6067,10242,921,492,43086,19464,14075,4595,2018,1757,1177,27169,2026,3588,4246,5636,5838,3942,1836,57,179300,Texas
48768,"Mission city, Texas",2014,27962,22849,5113,27962,598,11457,7350,4379,2601,802,621,44,110,22849,8352,9229,3099,1210,647,312,16089,3062,4191,4065,1635,2609,527,0,0,108900,Texas
48804,"Missouri City city, Texas",2014,23457,23115,342,23457,1181,4271,5716,5887,5461,787,75,79,0,23115,7606,8436,3946,2320,807,0,18341,521,2833,5430,3988,4144,956,469,0,153400,Texas
50820,"New Braunfels city, Texas",2014,23812,21463,2349,23812,1724,9126,3755,2504,2615,1666,704,870,848,21463,9668,8303,1821,720,571,380,14605,954,1372,2938,4446,3375,1010,322,188,173400,Texas
52356,"North Richland Hills city, Texas",2014,26297,24849,1448,26297,843,3345,5704,7024,4013,2600,2550,177,41,24849,11472,6414,3375,1765,1217,606,16205,587,2339,4275,3438,3428,1876,262,0,162200,Texas
53388,"Odessa city, Texas",2014,44978,40556,4422,44978,3586,3764,3715,4098,8313,6025,11927,2855,695,40556,18093,9836,5907,2937,1762,2021,23890,3456,4418,4356,6136,4029,993,197,305,145800,Texas
56000,"Pasadena city, Texas",2014,55379,49719,5660,55379,606,6145,7097,8037,10267,9032,11108,2503,584,49719,21420,14915,6265,3079,2308,1732,26728,2560,9607,6341,3688,2856,1310,366,0,109000,Texas
56348,"Pearland city, Texas",2014,36225,35128,1097,36225,4142,15102,7511,3966,3451,1482,246,325,0,35128,13398,15421,3302,1975,842,190,26996,1622,956,4559,9861,7301,2204,493,0,182100,Texas
57200,"Pharr city, Texas",2014,23242,20333,2909,23242,1574,9225,3800,3370,1278,1961,1001,0,1033,20333,7507,7123,2912,1438,870,483,13212,3596,6573,1843,736,370,94,0,0,68800,Texas
58016,"Plano city, Texas",2014,108910,104535,4375,108910,3122,18557,38735,26760,16499,3840,881,389,127,104535,44790,34037,17782,5333,2394,199,65481,2144,2273,8591,12063,20093,15559,3510,1248,236000,Texas
61796,"Richardson city, Texas",2014,46162,43569,2593,46162,686,6891,7728,5374,12283,8121,4795,96,188,43569,18753,12023,6354,2879,2713,847,26054,370,990,4234,6809,7525,5133,910,83,206300,Texas
63500,"Round Rock city, Texas",2014,37918,36034,1884,37918,1828,13764,11702,5879,3219,707,177,213,429,36034,18171,12241,4014,980,628,0,21580,506,393,5219,5115,6405,3399,316,227,193700,Texas
64472,"San Angelo city, Texas",2014,40582,36051,4531,40582,683,2098,3406,5796,9530,5267,8874,2978,1950,36051,17538,9406,4611,2087,1396,1013,20566,3792,7777,3566,2577,1688,1084,82,0,91500,Texas
65000,"San Antonio city, Texas",2014,535546,492940,42606,535546,17772,89685,69519,90046,88597,60097,57880,31363,30587,492940,231772,133861,56631,31747,21592,17337,264388,28548,82113,53730,43473,34278,15969,5350,927,119000,Texas
70808,"Sugar Land city, Texas",2014,29848,28213,1635,29848,1967,5642,7963,9350,4099,333,115,106,273,28213,8438,11058,5136,3290,249,42,24482,162,124,2420,3256,7889,7607,2480,544,281300,Texas
72176,"Temple city, Texas",2014,29367,25732,3635,29367,1919,5070,2953,3445,6139,3714,2755,1663,1709,25732,12772,7524,2648,1684,754,350,13092,687,3334,4439,2285,1393,784,170,0,123300,Texas
72656,"The Woodlands CDP, Texas",2014,42106,38872,3234,42106,2272,15735,11805,7787,3189,230,1036,0,52,38872,17234,15681,4416,1280,261,0,27184,184,352,2153,2365,5224,8844,7535,527,353800,Texas
74144,"Tyler city, Texas",2014,41114,35901,5213,41114,1074,6397,4044,6230,8434,5410,5179,1703,2643,35901,17421,11539,3393,1464,1075,1009,17921,2058,4110,3168,3625,2911,1475,498,76,144500,Texas
75428,"Victoria city, Texas",2014,26985,24195,2790,26985,531,2127,4192,4180,5503,3500,4167,1513,1272,24195,11284,5696,3319,1725,1332,839,13653,2174,3405,3119,2515,1244,991,28,177,117700,Texas
76000,"Waco city, Texas",2014,52483,46843,5640,52483,724,7276,6290,6742,10286,6409,8442,1941,4373,46843,26412,11602,3480,2286,1614,1449,20097,3283,7159,4221,2607,1578,947,216,86,94100,Texas
79000,"Wichita Falls city, Texas",2014,41610,34845,6765,41610,974,4176,4447,5687,6717,5633,7677,2566,3733,34845,16677,9752,3645,2058,1765,948,20105,4518,6186,4710,2423,1384,612,227,45,94900,Texas
1,United States,2015,134793665,118208250,16585415,134793665,644434,3349216,19541438,18890642,18363586,20924027,14547538,14182503,6865918,2.54,118208250,8771565,42303115,33302241,16572249,8085650,1276055,74506512,5599055,10432762,11186841,11027247,14035465,12923900,7255822,2045420,Texas
1000,"Abilene city, Texas",2015,49389,42507,6882,49389,186,1366,4524,6155,5726,6718,5990,11577,3062,2.65,42507,5320,17853,10253,4244,2308,450,23209,3821,5961,6758,2579,2845,869,257,119,Texas
1924,"Allen city, Texas",2015,32693,32204,489,32693,1040,1800,13579,8079,4799,2673,350,46,252,3.15,32204,2503,13349,11461,3184,1102,731,23964,111,756,2453,2942,8988,7038,1287,389,Texas
3000,"Amarillo city, Texas",2015,83406,74766,8640,83406,297,2948,9015,6861,9300,13059,13006,16163,7909,2.43,74766,7367,30963,19394,8394,3921,1309,45254,3391,13709,11660,7817,4996,2607,829,245,Texas
4000,"Arlington city, Texas",2015,144186,132835,11351,144186,382,1978,19283,26785,40584,31900,11856,8653,1993,2.83,132835,14948,54565,34596,17801,6868,1708,70223,2951,12640,21843,16230,11724,4212,623,0,Texas
4462,"Atascocita CDP, Texas",2015,25944,24994,950,25944,316,1267,11809,4582,3893,3539,402,0,0,2.74,24994,1396,9102,9749,3105,1468,-999999999,19621,379,786,5405,6230,4810,1472,306,233,Texas
5000,"Austin city, Texas",2015,397637,364893,32744,397637,5483,21652,83362,67471,76407,68698,32595,19842,10694,2.31,364893,43454,186638,81808,30722,11522,8006,161837,4210,4834,12170,22138,44220,42851,26585,4829,Texas
6128,"Baytown city, Texas",2015,31859,28893,2966,31859,140,2437,4415,3938,4030,6717,3959,3076,1995,2.35,28893,3353,11549,7829,3247,1136,16037,2888,4943,3987,1770,1537,398,246,268,102500,Texas
7000,"Beaumont city, Texas",2015,51572,46133,5439,51572,693,3027,6920,5788,5080,9448,9965,6232,1797,2.46,46133,5966,16160,11689,5650,2641,24625,5417,7059,4352,3210,2417,1670,500,0,,Texas
10768,"Brownsville city, Texas",2015,57563,52309,5254,57563,893,3492,15023,8700,10650,6870,5872,2658,2056,3.35,52309,3000,17187,17149,6802,4356,32407,6541,13162,6843,3640,1407,620,194,0,,Texas
10912,"Bryan city, Texas",2015,33949,30599,3350,33949,545,2346,7062,4033,6099,5524,2503,3069,1379,2.32,30599,4179,14813,6272,3051,1391,13998,2363,2567,3141,2929,1914,942,142,0,,Texas
13024,"Carrollton city, Texas",2015,48497,47577,920,48497,383,2082,5775,7396,17988,10419,2331,1588,364,2.49,47577,4865,19325,12756,7159,2189,28083,458,438,6312,7656,9153,3566,459,41,,Texas
13552,"Cedar Park city, Texas",2015,22220,21212,1008,22220,394,2625,9817,6311,1949,888,158,0,78,2.44,21212,2510,9495,6620,1921,393,13848,266,81,889,2330,5762,4051,469,0,,Texas
15976,"College Station city, Texas",2015,41592,38409,3183,41592,734,3301,10636,7444,7524,7839,2530,863,479,2.38,38409,6559,20251,8141,2010,1017,14569,704,505,1860,4028,4225,2314,836,97,,Texas
16432,"Conroe city, Texas",2015,27685,25298,2387,27685,786,2900,8070,2098,4682,6047,2211,739,152,2.37,25298,3161,13166,6740,1163,655,11720,483,2449,2489,2057,1953,1986,153,150,158200,Texas
17000,"Corpus Christi city, Texas",2015,130945,117609,13336,130945,1522,3629,16040,15764,22359,19261,17703,23426,8468,2.51,117609,14580,47390,25526,13560,7770,63166,6063,17092,16135,9777,8883,3550,1299,367,,Texas
19000,"Dallas city, Texas",2015,550251,495362,54889,550251,5248,17248,63369,60379,98116,98421,73776,79036,25361,2.41,495362,58455,236206,105563,47593,20261,204854,18216,50032,33131,17645,24099,31809,21062,8860,,Texas
19972,"Denton city, Texas",2015,48282,45529,2753,48282,494,2935,14005,8115,6321,7561,4579,2046,1048,2.47,45529,6918,20902,12248,2619,1617,21785,1079,1960,4350,6024,6127,1715,354,176,,Texas
22660,"Edinburg city, Texas",2015,29000,25073,3927,29000,328,1658,10069,7472,3111,3102,1218,1146,347,2.84,25073,2107,10403,7768,3084,634,14235,1869,4832,3198,2564,1197,315,260,0,,Texas
24000,"El Paso city, Texas",2015,246920,222557,24363,246920,1125,14651,39935,33246,33314,41329,28306,32223,13126,2.71,222557,17840,79562,57334,30554,16343,131608,7947,38537,43116,21829,12872,5642,1331,334,,Texas
26232,"Flower Mound town, Texas",2015,23979,23575,404,23979,292,692,4601,11448,5027,1443,27,205,244,2.29,23575,1253,8052,8937,4016,828,20106,197,96,959,2077,6145,7936,2375,321,,Texas
27000,"Fort Worth city, Texas",2015,315201,285173,30028,315201,2348,14772,87039,37103,40992,34356,26034,35702,14277,2.64,285173,25725,126365,83630,25525,9819,160604,14681,38180,37742,30354,23439,10699,4183,1326,,Texas
27684,"Frisco city, Texas",2015,52266,50480,1786,52266,2735,7617,26976,10943,2007,953,660,148,129,2.47,50480,4917,22611,19786,2531,334,39398,522,281,929,3312,11673,16356,5891,434,,Texas
29000,"Garland city, Texas",2015,80113,75582,4531,80113,149,940,7988,8581,20346,23039,11082,6027,1656,3.13,75582,5837,25407,22351,11553,4693,46639,960,10852,17007,9244,5306,2736,494,40,,Texas
30464,"Grand Prairie city, Texas",2015,63669,58919,4750,63669,183,2658,16945,10217,12391,9451,4133,4571,2661,2.99,58919,3751,24234,18905,6485,3197,36356,2156,8322,10805,8131,4563,1654,505,220,,Texas
32372,"Harlingen city, Texas",2015,25737,21447,4290,25737,0,423,5866,3325,4279,4880,2194,2700,1330,3.08,21447,2033,9207,5385,2373,1004,11435,3387,3125,2028,1779,921,113,82,0,,Texas
35000,"Houston city, Texas",2015,946571,849974,96597,946571,7284,35799,143095,95122,134739,222060,127736,100299,40006,2.53,849974,105808,399212,182563,75180,38159,351584,22723,83076,67606,42920,42675,49492,31783,11309,152200,Texas
37000,"Irving city, Texas",2015,90714,84684,6030,90714,793,3895,11106,15743,22474,12896,13051,8845,1118,2.6,84684,11989,42085,19105,6160,2108,31561,1297,4860,10293,4573,3946,4711,1780,101,,Texas
39148,"Killeen city, Texas",2015,58259,51766,6493,58259,397,7048,12841,10893,10910,8745,4694,1623,682,2.54,51766,7510,27653,8606,3803,2826,22763,1941,6065,8334,3783,1524,489,467,160,,Texas
41464,"Laredo city, Texas",2015,74887,69026,5861,74887,332,3677,19151,17651,11192,7320,6403,3863,2589,3.58,69026,3967,24244,20649,10421,4872,42659,3496,12102,11366,7773,4474,2781,667,0,,Texas
41980,"League City city, Texas",2015,37459,35997,1462,37459,890,2264,15938,8179,4433,2851,2601,143,50,2.59,35997,2063,13767,13085,4406,1456,29147,458,401,3886,6618,11417,5204,994,169,219200,Texas
42508,"Lewisville city, Texas",2015,40676,37593,3083,40676,328,1692,8421,13196,10139,4289,1767,627,176,2.45,37593,5022,19673,8270,2645,1097,15813,1819,756,4425,4179,4226,366,0,42,,Texas
43888,"Longview city, Texas",2015,34057,30457,3600,34057,208,559,3556,2580,5412,7792,6856,3975,2080,2.44,30457,2322,11391,9234,3995,1134,17011,2095,4306,3570,3505,2257,1068,210,0,,Texas
